RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         6536     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  151  152     1    42  con    0  1.0D+00  1.8D+04  1.311D+00  8.918D+09
  152  153     1    42  con    0  1.0D+00  2.4D+04  1.755D+00  8.918D+09
  153  154     1    42  con    0  1.0D+00  1.9D+04  2.491D+00  8.918D+09
  154  155     1    42  con    0  1.0D+00  8.6D+03  9.291D-01  8.918D+09
  155  156     1    42  con    0  1.0D+00  1.8D+04  1.778D+00  8.918D+09
  156  157     1    42  con    0  1.0D+00  1.6D+04  2.676D+00  8.918D+09
  157  158     1    42  con    0  1.0D+00  2.6D+03  1.420D+00  8.918D+09
  158  159     1    42  con    0  1.0D+00  1.1D+04  1.616D+00  8.918D+09
  159  160     1    42  con    0  1.0D+00  1.2D+04  1.426D+00  8.918D+09
  160  161     1    42  con    0  1.0D+00  2.6D+04  1.845D+00  8.918D+09
  161  162     1    42  con    0  1.0D+00  2.3D+04  1.925D+00  8.918D+09
  162  163     1    42  con    0  1.0D+00  9.5D+03  1.450D+00  8.918D+09
  163  164     1    42  con    0  1.0D+00  1.2D+04  9.129D-01  8.918D+09
  164  165     1    42  con    0  1.0D+00  1.5D+04  2.143D+00  8.918D+09
  165  166     1    42  con    0  1.0D+00  1.9D+04  1.525D+00  8.918D+09
  166  167     1    42  con    0  1.0D+00  2.2D+04  1.357D+00  8.918D+09
  167  168     1    42  con    0  1.0D+00  1.4D+04  1.705D+00  8.918D+09
  168  169     1    42  con    0  1.0D+00  1.4D+04  1.839D+00  8.918D+09
  169  170     1    42  con    0  1.0D+00  1.7D+04  1.165D+00  8.918D+09
  170  171     1    42  con    0  1.0D+00  2.2D+04  1.876D+00  8.918D+09
  171  172     1    42  con    0  1.0D+00  1.3D+04  1.210D+00  8.918D+09
  172  173     1    42  con    0  1.0D+00  7.9D+03  7.920D-01  8.918D+09
  173  174     1    42  con    0  1.0D+00  1.6D+04  1.982D+00  8.918D+09
  174  175     1    42  con    0  1.0D+00  1.7D+04  1.427D+00  8.918D+09
  175  176     1    42  con    0  1.0D+00  8.2D+03  9.405D-01  8.918D+09
  176  177     1    42  con    0  1.0D+00  1.5D+04  2.290D+00  8.918D+09
  177  178     1    42  con    0  1.0D+00  8.9D+03  1.517D+00  8.918D+09
  178  179     1    42  con    0  1.0D+00  4.1D+03  1.412D+00  8.918D+09
  179  180     1    42  con    0  1.0D+00  1.3D+04  1.223D+00  8.918D+09
  180  181     1    42  con    0  1.0D+00  1.1D+04  3.828D+00  8.918D+09
  181  182     1    42  con    0  1.0D+00  9.8D+02  1.304D+00  8.918D+09
  182  183     1    42  con    0  1.0D+00  3.7D+03  1.094D+00  8.918D+09
  183  184     1    42  con    0  1.0D+00  5.8D+03  2.018D+00  8.918D+09
  184  185     1    42  con    0  1.0D+00  9.4D+03  1.075D+00  8.918D+09
  185  186     1    42  con    0  1.0D+00  9.2D+03  1.308D+00  8.918D+09
  186  187     1    42  con    0  1.0D+00  8.6D+03  1.626D+00  8.918D+09
  187  188     1    42  con    0  1.0D+00  5.6D+03  1.305D+00  8.918D+09
  188  189     1    42  con    0  1.0D+00  6.9D+03  1.532D+00  8.918D+09
  189  190     1    42  con    0  1.0D+00  3.5D+03  5.695D-01  8.918D+09
  190  191     1    42  con    0  1.0D+00  4.7D+03  1.382D+00  8.918D+09
  191  192     1    42  con    0  1.0D+00  7.5D+03  1.246D+00  8.918D+09
  192  193     1    42  con    0  1.0D+00  9.2D+03  1.682D+00  8.918D+09
  193  194     1    42  con    0  1.0D+00  9.3D+03  7.368D-01  8.918D+09
  194  195     1    42  con    0  1.0D+00  8.3D+03  1.177D+00  8.918D+09
  195  196     1    42  con    0  1.0D+00  4.1D+03  2.183D+00  8.918D+09
  196  197     1    42  con    0  1.0D+00  5.8D+03  1.254D+00  8.918D+09
  197  198     1    42  con    0  1.0D+00  4.8D+03  8.351D-01  8.918D+09
  198  199     1    42  con    0  1.0D+00  6.8D+03  1.084D+00  8.918D+09
  199  200     1    42  con    0  1.0D+00  1.2D+04  1.210D+00  8.918D+09
  200  201     1    42  con    0  1.0D+00  7.1D+03  1.007D+00  8.918D+09
  201  202     1    42  con    0  1.0D+00  4.5D+03  1.082D+00  8.918D+09
  202  203     1    42  con    0  1.0D+00  5.0D+03  1.108D+00  8.918D+09
  203  204     1    42  con    0  1.0D+00  5.4D+03  8.386D-01  8.918D+09
  204  205     1    42  con    0  1.0D+00  9.4D+03  7.834D-01  8.918D+09
  205  206     1    42  con    0  1.0D+00  6.8D+03  9.189D-01  8.918D+09
  206  207     1    42  con    0  1.0D+00  3.3D+03  5.636D-01  8.918D+09
  207  208     1    42  con    0  1.0D+00  6.6D+03  1.330D+00  8.918D+09
  208  209     1    42  con    0  1.0D+00  3.9D+03  8.135D-01  8.918D+09
  209  210     1    42  con    0  1.0D+00  2.1D+03  7.469D-01  8.918D+09
  210  211     1    42  con    0  1.0D+00  7.5D+03  7.105D-01  8.918D+09
  211  212     1    42  con    0  1.0D+00  9.0D+03  1.460D+00  8.918D+09
  212  213     1    42  con    0  1.0D+00  3.8D+03  9.810D-01  8.918D+09
  213  214     1    42  con    0  1.0D+00  4.6D+03  8.528D-01  8.918D+09
  214  215     1    42  con    0  1.0D+00  4.1D+03  8.737D-01  8.918D+09
  215  216     1    42  con    0  1.0D+00  8.5D+03  1.825D+00  8.918D+09
  216  217     1    42  con    0  1.0D+00  6.3D+03  6.587D-01  8.918D+09
  217  218     1    42  con    0  1.0D+00  4.0D+03  6.630D-01  8.918D+09
  218  219     1    42  con    0  1.0D+00  6.3D+03  1.681D+00  8.918D+09
  219  220     1    42  con    0  1.0D+00  6.2D+03  1.164D+00  8.918D+09
  220  221     1    42  con    0  1.0D+00  7.4D+03  1.082D+00  8.918D+09
  221  222     1    42  con    0  1.0D+00  8.6D+03  9.090D-01  8.918D+09
